2019-02-06 15:11:47.595 [main] INFO  com.ocr.charles.Menu - Jeu choisi : Searchumber
2019-02-06 15:11:49.739 [main] INFO  com.ocr.charles.Menu - Joueur quitte l'application
2019-02-06 16:54:22.637 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 16:54:22.642 [main] INFO  com.ocr.charles.Menu - -----------------LANCEMENT APPLICATION-------------------
2019-02-06 16:54:22.642 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 16:54:26.571 [main] INFO  com.ocr.charles.Menu - ------------------NOUVELLE PARTIE--------------------
2019-02-06 16:54:26.571 [main] INFO  com.ocr.charles.Menu - -----------------------------------------------------
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Nombre de digits : 4
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées : 5
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées -1 : 4
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Partie terminée : false
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Joueur gagne : false
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Range min: 0 0 0 0 
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Range max: 9 9 9 9 
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Développeur mode : true
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - --------------------Fin resume init----------------------
2019-02-06 16:54:26.575 [main] INFO  com.ocr.charles.Menu - Mode choisi : Challenger
2019-02-06 16:54:30.171 [main] INFO  com.ocr.charles.Menu - Tour Human n°1 :
2019-02-06 16:54:30.171 [main] INFO  com.ocr.charles.Menu - Solution : 1 7 2 4 
2019-02-06 16:54:30.171 [main] INFO  com.ocr.charles.Menu - Réponse : 5 5 5 5 
2019-02-06 16:54:34.347 [main] INFO  com.ocr.charles.Menu - Tour Human n°2 :
2019-02-06 16:54:34.347 [main] INFO  com.ocr.charles.Menu - Solution : 1 7 2 4 
2019-02-06 16:54:34.347 [main] INFO  com.ocr.charles.Menu - Réponse : 1 7 2 4 
2019-02-06 16:54:39.379 [main] INFO  com.ocr.charles.Menu - Jeu choisi : Searchumber
2019-02-06 16:54:43.467 [main] INFO  com.ocr.charles.Menu - Joueur quitte l'application
2019-02-06 16:56:50.907 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 16:56:50.910 [main] INFO  com.ocr.charles.Menu - -----------------LANCEMENT APPLICATION-------------------
2019-02-06 16:56:50.910 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 16:56:53.451 [main] INFO  com.ocr.charles.Menu - Jeu choisi : Searchumber
2019-02-06 16:56:54.532 [main] INFO  com.ocr.charles.Menu - ------------------NOUVELLE PARTIE--------------------
2019-02-06 16:56:54.532 [main] INFO  com.ocr.charles.Menu - -----------------------------------------------------
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Nombre de digits : 4
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées : 5
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées -1 : 4
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Partie terminée : false
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Joueur gagne : false
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Range min: 0 0 0 0 
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Range max: 9 9 9 9 
